"Time","  FARAZGANZ NEW BRIDGE WL_I_1H (m)"," ALEXANDER WL_I_1H (m)"," BAKKHALI RIVER  ( KHURUSHKUL) WL_I_1H (m)"," BASHKHALI  (JALKADAR CANAL) BRIDGE WL_I_1H (m)"," BEKUTIA FERRY GHAT WL_I_1H (m)"," BOLIR POL  BRIDGE WL_I_1H (m)"," CHAR AMANULLAH WL_I_1H (m)"," CHAR JABBAR RAMGOTI BRIDGE WL_I_1H (m)"," CHAR MONTAZ SLUICE GATE, BAZAR WL_I_1H (m)"," DUBLAR CHAR WL_I_1H (m)"," GABKHAN BRIDGE WL_I_1H (m)"," GODARPAR SLUICE GATE  (SANGUA BRIDGE) WL_I_1H (m)"," GOLACHIPA FERRY GHAT WL_I_1H (m)"," KALAPARA BRIDGE WL_I_1H (m)"," KARNAFULI SHAH AMANAT BRIDGE WL_I_1H (m)"," KARNAPHULI  RIVER (SUPPORT PADMA OIL COMPANY LTD.) WL_I_1H (m)"," KUAKATA (ALIPUR BRIDGE) WL_I_1H (m)"," KUMIRA (JETTY GHAT) WL_I_1H (m)"," MAYA BRIDGE WL_I_1H (m)"," MOGNAMA JETTY WL_I_1H (m)"," MOHESHKHALI (NEW JETTY GHAT) WL_I_1H (m)"," MONPURA  (HAJIRHAT LAUNCH GHAT) WL_I_1H (m)"," MOTIRHAT NEW REGULATOR (MOJU  CHOWDHURY'S HAT)  WL_I_1H (m)"," MUKTARIA  GHAT  (HATIYA NIJHUM DWIP FERRY RT) WL_I_1H (m)"," MUSAPUR REGULATOR  (SLUICE GATE) WL_I_1H (m)"," NAF RIVER WL_I_1H (m)"," RAJU-KHAL STEEL BRIDGE  (NEAR INANI BEACH) WL_I_1H (m)"," RANGABALI WL_I_1H (m)"," SANDWIP (GUPTOCHORA  JETTY GHAT) WL_I_1H (m)"," SHAPORIR DWIP  (JETTY TERMINAL) WL_I_1H (m)"," TULATULI SLUICE GATE WL_I_1H (m)","BOWLESHSWAR BAZAR (KHETACHIRA) WL_I_1H (m)","CHARFESHION (NEW SULEJ GATE) WL_I_1H (m)","GABURA HAT (BRIDGE) WL_I_1H (m)","JOYALVANGA SLUICE GATE(TALTALI) WL_I_1H (m)","MORELGANJ  BRIDGE WL_I_1H (m)","PAYRA  JETTY (THERMAL POWER PLANT) WL_I_1H (m)","ST. MARTIN  (LANDING JETTY OF ST. MARTIN) WL_I_1H (m)","THOTA  JETTY ( JAYMONI BAZAR) WL_I_1H (m)","ULANIA DASHMINA (BRIDGE) WL_I_1H (m)"
"01/07/2025 04:30:00",,,,,1.382,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.222,,,,,,,0.983,,,
"01/07/2025 04:45:00",1.195,,,,1.367,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.109,,,,,,,0.924,,,
"01/07/2025 05:00:00",1.207,,,,1.345,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.029,,,,,,,0.812,,,
"01/07/2025 05:15:00",1.204,,,,1.315,,,,,,,,,14.542,,,,,,,,,,,,,,,,-0.052,,,,,,,0.729,,,
"01/07/2025 05:30:00",1.208,,,,1.268,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.135,,,,,,,0.616,,,
"01/07/2025 05:45:00",1.193,,,,1.231,,,,,,,,,14.156,,,,,,,,,,,,,,,,-0.224,,,,,,,0.523,,,
"01/07/2025 06:00:00",1.166,,,,1.177,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.314,,,,,,,0.412,,,
"01/07/2025 06:15:00",1.119,,,,1.121,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.381,,,,,,,0.298,,,
"01/07/2025 06:30:00",1.043,,,,1.064,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.429,,,,,,,0.227,,,
"01/07/2025 06:45:00",0.99,,,,1.01,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.482,,,,,,,0.131,,,
"01/07/2025 07:00:00",0.92,,,,0.953,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.489,,,,,,,0.057,,,
"01/07/2025 07:15:00",0.859,,,,0.896,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.526,,,,,,,-0.007,,,
"01/07/2025 07:30:00",0.813,,,,0.844,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.511,,,,,,,-0.049,,,
"01/07/2025 07:45:00",0.746,,,,0.794,,,,,,,,,14.246,,,,,,,,,,,,,,,,-0.475,,,,,,,-0.107,,,
"01/07/2025 08:00:00",0.709,,,,0.755,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.408,,,,,,,-0.149,,,
"01/07/2025 08:15:00",0.679,,,,0.716,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.346,,,,,,,-0.183,,,
"01/07/2025 08:30:00",0.666,,,,0.684,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.207,,,,,,,-0.231,,,
"01/07/2025 08:45:00",0.637,,,,0.642,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.15,,,,,,,-0.255,,,
"01/07/2025 09:00:00",0.63,,,,0.606,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.03,,,,,,,-0.277,,,
"01/07/2025 09:15:00",0.617,,,,0.563,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.073,,,,,,,-0.274,,,
"01/07/2025 09:30:00",0.605,,,,0.532,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.193,,,,,,,-0.251,,,
"01/07/2025 09:45:00",0.582,,,,0.497,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.333,,,,,,,-0.225,,,
"01/07/2025 10:00:00",0.568,,,,0.46,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.404,,,,,,,-0.152,,,
"01/07/2025 10:15:00",0.547,,,,0.426,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.483,,,,,,,-0.066,,,
"01/07/2025 10:30:00",0.551,,,,0.401,,,,,,,,,14.462,,,,,,,,,,,,,,,,0.59,,,,,,,0.038,,,
"01/07/2025 10:45:00",0.515,,,,0.367,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.657,,,,,,,0.161,,,
"01/07/2025 11:00:00",0.494,,,,0.352,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.704,,,,,,,0.237,,,
"01/07/2025 11:15:00",0.494,,,,0.336,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.825,,,,,,,0.397,,,
"01/07/2025 11:30:00",0.466,,,,0.327,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.888,,,,,,,0.516,,,
"01/07/2025 11:45:00",0.445,,,,0.327,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.01,,,,,,,0.637,,,
"01/07/2025 12:00:00",0.418,,,,0.342,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.041,,,,,,,0.745,,,
"01/07/2025 12:15:00",0.425,,,,0.407,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.114,,,,,,,0.886,,,
"01/07/2025 12:30:00",0.398,,,,0.46,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.18,,,,,,,0.99,,,
"01/07/2025 12:45:00",0.396,,,,0.56,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.179,,,,,,,1.08,,,
"01/07/2025 13:00:00",0.426,,,,0.66,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.239,,,,,,,1.17,,,
"01/07/2025 13:15:00",0.465,,,,0.803,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.293,,,,,,,1.203,,,
"01/07/2025 13:30:00",0.536,,,,0.914,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.317,,,,,,,1.271,,,
"01/07/2025 13:45:00",0.652,,,,1.023,,,,,,,,,14.487,,,,,,,,,,,,,,,,1.308,,,,,,,1.315,,,
"01/07/2025 14:00:00",0.749,,,,1.143,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.28,,,,,,,1.351,,,
"01/07/2025 14:15:00",0.861,,,,1.233,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.221,,,,,,,1.393,,,
"01/07/2025 14:30:00",0.944,,,,1.292,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.199,,,,,,,1.412,,,
"01/07/2025 14:45:00",1.016,,,,1.501,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.104,,,,,,,1.44,,,
"01/07/2025 15:00:00",1.063,,,,1.57,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.008,,,,,,,1.42,,,
"01/07/2025 15:15:00",1.103,,,,1.574,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.897,,,,,,,1.41,,,
"01/07/2025 15:30:00",1.135,,,,1.435,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.79,,,,,,,1.415,,,
"01/07/2025 15:45:00",1.172,,,,1.452,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.739,,,,,,,1.379,,,
"01/07/2025 16:00:00",1.203,,,,1.455,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.653,,,,,,,1.328,,,
"01/07/2025 16:15:00",1.239,,,,1.462,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.544,,,,,,,1.295,,,
"01/07/2025 16:30:00",1.271,,,,1.456,,,,,,,,,14.378,,,,,,,,,,,,,,,,0.466,,,,,,,1.187,,,
"01/07/2025 16:45:00",1.3,,,,1.451,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.357,,,,,,,1.098,,,
"01/07/2025 17:00:00",1.319,,,,1.437,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.24,,,,,,,1.031,,,
"01/07/2025 17:15:00",1.326,,,,1.424,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.141,,,,,,,0.948,,,
"01/07/2025 17:30:00",1.33,,,,1.402,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.047,,,,,,,0.853,,,
"01/07/2025 17:45:00",1.327,,,,1.364,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.064,,,,,,,0.768,,,
"01/07/2025 18:00:00",1.315,,,,1.314,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.174,,,,,,,0.671,,,
"01/07/2025 18:15:00",1.29,,,,1.268,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.265,,,,,,,0.583,,,
"01/07/2025 18:30:00",1.253,,,,1.217,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.333,,,,,,,0.495,,,
"01/07/2025 18:45:00",1.195,,,,1.162,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.411,,,,,,,0.416,,,
"01/07/2025 19:00:00",1.119,,,,1.111,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.47,,,,,,,0.344,,,
"01/07/2025 19:15:00",1.025,,,,1.053,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.514,,,,,,,0.275,,,
"01/07/2025 19:30:00",0.98,,,,0.991,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.577,,,,,,,0.194,,,
"01/07/2025 19:45:00",0.928,,,,0.942,,,,,,,,,14.079,,,,,,,,,,,,,,,,-0.594,,,,,,,0.138,,,
"01/07/2025 20:00:00",0.905,,,,0.897,,,,,,,,,14.53,,,,,,,,,,,,,,,,-0.596,,,,,,,0.059,,,
"01/07/2025 20:15:00",0.883,,,,0.861,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.574,,,,,,,0,,,
"01/07/2025 20:30:00",0.857,,,,0.834,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.533,,,,,,,-0.035,,,
"01/07/2025 20:45:00",0.842,,,,0.791,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.481,,,,,,,-0.077,,,
"01/07/2025 21:00:00",0.827,,,,0.763,,,,,,,,,14.48,,,,,,,,,,,,,,,,-0.444,,,,,,,-0.119,,,
"01/07/2025 21:15:00",0.813,,,,0.745,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.315,,,,,,,-0.148,,,
"01/07/2025 21:30:00",0.794,,,,0.705,,,,,,,,,14.263,,,,,,,,,,,,,,,,-0.234,,,,,,,-0.174,,,
"01/07/2025 21:45:00",0.777,,,,0.67,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.126,,,,,,,-0.205,,,
"01/07/2025 22:00:00",0.766,,,,0.625,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.085,,,,,,,-0.226,,,
"01/07/2025 22:15:00",0.746,,,,0.61,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.002,,,,,,,-0.211,,,
"01/07/2025 22:30:00",0.725,,,,0.557,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.109,,,,,,,-0.192,,,
"01/07/2025 22:45:00",0.706,,,,0.526,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.224,,,,,,,-0.162,,,
"01/07/2025 23:00:00",0.686,,,,0.491,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.323,,,,,,,-0.104,,,
"01/07/2025 23:15:00",0.658,,,,0.463,,,,,,,,,14.471,,,,,,,,,,,,,,,,0.468,,,,,,,-0.037,,,
"01/07/2025 23:30:00",0.635,,,,0.432,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.556,,,,,,,0.041,,,
"01/07/2025 23:45:00",0.605,,,,0.412,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.649,,,,,,,0.151,,,
"02/07/2025 00:00:00",0.571,,,,0.402,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.725,,,,,,,0.24,,,
"02/07/2025 00:15:00",0.542,,,,0.39,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.764,,,,,,,0.348,,,
"02/07/2025 00:30:00",0.496,,,,0.387,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.795,,,,,,,0.462,,,
"02/07/2025 00:45:00",0.456,,,,0.388,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.879,,,,,,,0.579,,,
"02/07/2025 01:00:00",0.427,,,,0.406,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.939,,,,,,,0.65,,,
"02/07/2025 01:15:00",0.406,,,,0.452,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.989,,,,,,,0.762,,,
"02/07/2025 01:30:00",0.389,,,,0.518,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.059,,,,,,,0.86,,,
"02/07/2025 01:45:00",0.382,,,,0.591,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.095,,,,,,,0.926,,,
"02/07/2025 02:00:00",0.383,,,,0.688,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.067,,,,,,,0.999,,,
"02/07/2025 02:15:00",0.413,,,,0.799,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.094,,,,,,,1.05,,,
"02/07/2025 02:30:00",0.461,,,,0.903,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.021,,,,,,,1.107,,,
"02/07/2025 02:45:00",0.52,,,,0.996,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.019,,,,,,,1.153,,,
"02/07/2025 03:00:00",0.607,,,,1.076,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.992,,,,,,,1.186,,,
"02/07/2025 03:15:00",0.699,,,,1.149,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.881,,,,,,,1.225,,,
"02/07/2025 03:30:00",0.786,,,,1.212,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.864,,,,,,,1.245,,,
"02/07/2025 03:45:00",0.853,,,,1.247,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.79,,,,,,,1.212,,,
"02/07/2025 04:00:00",0.919,,,,1.271,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.776,,,,,,,1.202,,,
"02/07/2025 04:15:00",0.968,,,,1.54,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.688,,,,,,,1.2,,,
"02/07/2025 04:30:00",1.009,,,,1.252,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.579,,,,,,,1.134,,,
"02/07/2025 04:45:00",1.044,,,,1.314,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.533,,,,,,,1.074,,,
"02/07/2025 05:00:00",1.08,,,,1.322,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.473,,,,,,,1.001,,,
"02/07/2025 05:15:00",1.115,,,,1.322,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.353,,,,,,,0.954,,,
"02/07/2025 05:30:00",1.139,,,,1.313,,,,,,,,,14.465,,,,,,,,,,,,,,,,0.264,,,,,,,0.897,,,
"02/07/2025 05:45:00",1.153,,,,1.298,,,,,,,,,14.829,,,,,,,,,,,,,0.503,,,0.208,,,,,,,0.815,,,
"02/07/2025 06:00:00",1.158,,,,1.267,,,,,,,,,14.829,,,,,,,,,,,,,0.423,,,0.129,,,,,,,0.75,,,
"02/07/2025 06:15:00",1.155,,,,1.232,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.045,,,,,,,0.653,,,
"02/07/2025 06:30:00",1.143,,,,1.189,,,,,,,,,14.829,,,,,,,,,,,,,0.329,,,-0.017,,,,,,,0.575,,,
"02/07/2025 06:45:00",1.119,,,,1.134,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.054,,,,,,,0.502,,,
"02/07/2025 07:00:00",1.074,,,,1.085,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.116,,,,,,,0.428,,,
"02/07/2025 07:15:00",1.006,,,,1.032,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.194,,,,,,,0.345,,,
"02/07/2025 07:30:00",0.95,,,,0.979,,,,,,,,,14.286,,,,,,,,,,,,,,,,-0.269,,,,,,,0.266,,,
"02/07/2025 07:45:00",0.886,,,,0.933,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.268,,,,,,,0.205,,,
"02/07/2025 08:00:00",0.847,,,,0.891,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.264,,,,,,,0.149,,,
"02/07/2025 08:15:00",0.807,,,,0.845,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.246,,,,,,,0.114,,,
"02/07/2025 08:30:00",0.776,,,,0.81,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.3,,,,,,,0.064,,,
"02/07/2025 08:45:00",0.749,,,,0.773,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.249,,,,,,,0.032,,,
"02/07/2025 09:00:00",0.719,,,,0.744,,,,,,,,,14.829,,,,,,,,,,,,,,,,-0.188,,,,,,,0.01,,,
"02/07/2025 09:15:00",0.688,,,,0.708,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.502,,,,,,,0.001,,,
"02/07/2025 09:30:00",0.695,,,,0.681,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.097,,,,,,,-0.012,,,
"02/07/2025 09:45:00",0.673,,,,0.639,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.153,,,,,,,-0.025,,,
"02/07/2025 10:00:00",0.656,,,,0.606,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.253,,,,,,,-0.037,,,
"02/07/2025 10:15:00",0.649,,,,0.584,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.308,,,,,,,-0.02,,,
"02/07/2025 10:30:00",0.622,,,,0.555,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.369,,,,,,,-0.012,,,
"02/07/2025 10:45:00",0.626,,,,0.517,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.443,,,,,,,0.035,,,
"02/07/2025 11:00:00",0.604,,,,0.507,,,,,,,,,14.145,,,,,,,,,,,,,,,,0.52,,,,,,,0.107,,,
"02/07/2025 11:15:00",0.605,,,,0.474,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.594,,,,,,,0.195,,,
"02/07/2025 11:30:00",0.609,,,,0.454,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.664,,,,,,,0.302,,,
"02/07/2025 11:45:00",0.593,,,,0.44,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.769,,,,,,,0.373,,,
"02/07/2025 12:00:00",0.586,,,,0.431,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.829,,,,,,,0.469,,,
"02/07/2025 12:15:00",0.571,,,,0.414,,,,,,,,,14.35,,,,,,,,,,,,,,,,0.904,,,,,,,0.594,,,
"02/07/2025 12:30:00",0.56,,,,0.442,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.905,,,,,,,0.695,,,
"02/07/2025 12:45:00",0.541,,,,0.45,,,,,,,,,14.466,,,,,,,,,,,,,,,,0.983,,,,,,,0.795,,,
"02/07/2025 13:00:00",0.541,,,,0.491,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.079,,,,,,,0.874,,,
"02/07/2025 13:15:00",0.529,,,,0.545,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.075,,,,,,,0.932,,,
"02/07/2025 13:30:00",0.54,,,,0.627,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.091,,,,,,,1.022,,,
"02/07/2025 13:45:00",0.555,,,,0.734,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.134,,,,,,,1.073,,,
"02/07/2025 14:00:00",0.583,,,,0.819,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.158,,,,,,,1.151,,,
"02/07/2025 14:15:00",0.652,,,,0.939,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.152,,,,,,,1.174,,,
"02/07/2025 14:30:00",0.715,,,,1.029,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.191,,,,,,,1.208,,,
"02/07/2025 14:45:00",0.801,,,,1.103,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.149,,,,,,,1.271,,,
"02/07/2025 15:00:00",0.896,,,,1.181,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.093,,,,,,,1.285,,,
"02/07/2025 15:15:00",0.954,,,,1.237,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.069,,,,,,,1.299,,,
"02/07/2025 15:30:00",1.006,,,,1.284,,,,,,,,,14.829,,,,,,,,,,,,,,,,1.01,,,,,,,1.321,,,
"02/07/2025 15:45:00",1.047,,,,1.309,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.933,,,,,,,1.366,,,
"02/07/2025 16:00:00",1.088,,,,1.342,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.893,,,,,,,1.335,,,
"02/07/2025 16:15:00",1.114,,,,1.386,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.784,,,,,,,1.341,,,
"02/07/2025 16:30:00",1.133,,,,1.38,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.698,,,,,,,1.293,,,
"02/07/2025 16:45:00",1.162,,,,1.388,,,,,,,,,14.829,,,,,,,,,,,,,,,,0.65,,,,,,,1.25,,,
